0: d0, <-2($73), ->1($17)
61: d278, <-18264($63), ->18263($27)
62: d278, <-21874($77), ->21873($37)
63: d44, <-15338($91), ->15337($68)
64: d44, <-17478($91), ->17477($92)
65: d582, <-15314($23), ->15313($70)
66: d582, <-3852($45), ->3851($78)
67: d640, <-8442($61), ->8441($81)
68: d640, <-15854($101), ->15853($78)
69: d499, <-23692($100), ->23691($8)
70: d499, <-12742($54), ->12741($92)
71: d139, <-24502($10), ->24501($67)
72: d139, <-20078($33), ->20077($12)
73: d378, <-6668($33), ->6667($90)
74: d378, <-18314($49), ->18313($90)
75: d88, <-22148($12), ->22147($2)
76: d88, <-9520($11), ->9519($35)
77: d83, <-1104($55), ->1103($86)
78: d83, <-2034($41), ->2033($6)
79: d128, <-6040($78), ->6039($32)
80: d128, <-1858($2), ->1857($92)
81: d608, <-6098($29), ->6097($65)
82: d608, <-7834($59), ->7833($62)
83: d414, <-1928($64), ->1927($88)
84: d414, <-9084($17), ->9083($4)
85: d365, <-10044($69), ->10043($64)
86: d365, <-6530($13), ->6529($79)
87: d445, <-5024($33), ->5023($52)
88: d445, <-12280($14), ->12279($35)
89: d53, <-17874($52), ->17873($9)
90: d53, <-24936($5), ->24935($56)
91: d204, <-17008($42), ->17007($26)
92: d204, <-7846($17), ->7845($23)
93: d791, <-15514($96), ->15513($91)
94: d791, <-18698($72), ->18697($42)
95: d129, <-1450($33), ->1449($95)
96: d129, <-11268($19), ->11267($49)
97: d59, <-3450($40), ->3449($20)
98: d59, <-3402($40), ->3401($80)
99: d291, <-3652($56), ->3651($95)
100: d291, <-23436($16), ->23435($33)
101: d306, <-806($45), ->805($27)
102: d306, <-12010($31), ->12009($96)
103: d45, <-4422($19), ->4421($66)
104: d45, <-1210($98), ->1209($29)
105: d76, <-6150($59), ->6149($54)
106: d76, <-24672($67), ->24671($13)
107: d386, <-8964($42), ->8963($34)
108: d386, <-13488($34), ->13487($37)
109: d38, <-21914($68), ->21913($95)
110: d38, <-9048($53), ->9047($37)
111: d246, <-20700($1), ->20699($48)
112: d246, <-20462($86), ->20461($44)
113: d543, <-22016($25), ->22015($94)
114: d543, <-17434($39), ->17433($6)
115: d533, <-5440($42), ->5439($71)
116: d533, <-17132($77), ->17131($61)
117: d755, <-25172($70), ->25171($55)
118: d755, <-9414($69), ->9413($87)
119: d337, <-25222($67), ->25221($51)
120: d337, <-18622($39), ->18621($28)
121: d521, <-4820($9), ->4819($52)
122: d521, <-1326($49), ->1325($26)
123: d143, <-14856($62), ->14855($1)
124: d143, <-2078($81), ->2077($66)
125: d676, <-15298($96), ->15297($80)
126: d676, <-19420($23), ->19419($50)
127: d245, <-23944($87), ->23943($8)
128: d245, <-112($75), ->111($27)
129: d610, <-568($25), ->567($75)
130: d610, <-25286($90), ->25285($61)
131: d453, <-3166($99), ->3165($4)
132: d453, <-4620($101), ->4619($60)
133: d91, <-20144($53), ->20143($18)
134: d91, <-21406($88), ->21405($36)
135: d568, <-18164($16), ->18163($21)
136: d568, <-14758($72), ->14757($33)
137: d95, <-12368($10), ->12367($58)
138: d95, <-17428($44), ->17427($7)
139: d671, <-20102($3), ->20101($70)
140: d671, <-13208($51), ->13207($84)
141: d97, <-18840($43), ->18839($82)
142: d97, <-10132($33), ->10131($13)
143: d349, <-19774($11), ->19773($43)
144: d349, <-10032($49), ->10031($23)
145: d337, <-15022($54), ->15021($34)
146: d337, <-23108($75), ->23107($96)
147: d600, <-22626($60), ->22625($6)
148: d600, <-11636($45), ->11635($13)
149: d182, <-17490($25), ->17489($56)
150: d182, <-16278($67), ->16277($64)
151: d494, <-9568($41), ->9567($1)
152: d494, <-17380($57), ->17379($73)
153: d347, <-8094($44), ->8093($98)
154: d347, <-10720($80), ->10719($6)
155: d691, <-20672($69), ->20671($61)
156: d691, <-20904($99), ->20903($42)
157: d737, <-18124($66), ->18123($99)
158: d737, <-20662($89), ->20661($65)
159: d62, <-1574($35), ->1573($38)
160: d62, <-10878($65), ->10877($34)
161: d73, <-10462($25), ->10461($19)
162: d73, <-6030($84), ->6029($86)
163: d773, <-7274($95), ->7273($83)
164: d773, <-22462($4), ->22461($26)
165: d474, <-9788($52), ->9787($86)
166: d474, <-10694($77), ->10693($46)
167: d596, <-3532($41), ->3531($69)
168: d596, <-11420($87), ->11419($79)
169: d263, <-888($66), ->887($71)
170: d263, <-16684($67), ->16683($83)
171: d331, <-16386($29), ->16385($45)
172: d331, <-18424($81), ->18423($29)
173: d573, <-19478($38), ->19477($81)
174: d573, <-18186($40), ->18185($75)
175: d32, <-10348($88), ->10347($19)
176: d32, <-19060($89), ->19059($20)
177: d297, <-25332($51), ->25331($39)
178: d297, <-7290($3), ->7289($12)
179: d704, <-16774($94), ->16773($46)
180: d704, <-14352($4), ->14351($76)
181: d716, <-11398($45), ->11397($7)
182: d716, <-15776($91), ->15775($34)
183: d516, <-13938($36), ->13937($42)
184: d516, <-17834($69), ->17833($61)
185: d374, <-23860($56), ->23859($4)
186: d374, <-2316($37), ->2315($35)
187: d406, <-24416($77), ->24415($69)
188: d406, <-8098($75), ->8097($7)
189: d757, <-11120($61), ->11119($1)
190: d757, <-6184($71), ->6183($86)
191: d558, <-16672($88), ->16671($76)
192: d558, <-1236($5), ->1235($48)
193: d204, <-23616($13), ->23615($60)
194: d204, <-17008($42), ->17007($26)
195: d688, <-11780($8), ->11779($11)
196: d688, <-56($43), ->55($75)
197: d218, <-7852($65), ->7851($51)
198: d218, <-5818($61), ->5817($46)
199: d42, <-21614($25), ->21613($71)
200: d42, <-25058($8), ->25057($70)
201: d602, <-4732($28), ->4731($40)
202: d602, <-20788($57), ->20787($87)
203: d43, <-9666($58), ->9665($72)
204: d43, <-20508($53), ->20507($17)
205: d584, <-9080($51), ->9079($14)
206: d584, <-22182($68), ->22181($76)
207: d383, <-712($19), ->711($39)
208: d383, <-11790($81), ->11789($32)
209: d363, <-24160($84), ->24159($100)
210: d363, <-14872($31), ->14871($24)
211: d711, <-18346($25), ->18345($89)
212: d711, <-11158($53), ->11157($11)
213: d619, <-19560($44), ->19559($76)
214: d619, <-24768($37), ->24767($35)
215: d162, <-24880($18), ->24879($40)
216: d162, <-9578($61), ->9577($6)
217: d725, <-11292($83), ->11291($43)
218: d725, <-9974($46), ->9973($71)
219: d410, <-3208($71), ->3207($47)
220: d410, <-4278($6), ->4277($28)
221: d600, <-10852($96), ->10851($50)
222: d600, <-6944($80), ->6943($37)
223: d419, <-10482($98), ->10481($50)
224: d419, <-24836($24), ->24835($42)
225: d754, <-5940($22), ->5939($9)
226: d754, <-24278($26), ->24277($100)
227: d691, <-24832($18), ->24831($60)
228: d691, <-9104($24), ->9103($89)
229: d230, <-20560($4), ->20559($11)
230: d230, <-21182($65), ->21181($99)
231: d626, <-24230($22), ->24229($90)
232: d626, <-3590($73), ->3589($47)
233: d622, <-8436($90), ->8435($39)
234: d622, <-24948($93), ->24947($13)
235: d192, <-22594($35), ->22593($38)
236: d192, <-2626($23), ->2625($84)
237: d99, <-1394($93), ->1393($51)
238: d99, <-2374($5), ->2373($89)
239: d344, <-5256($33), ->5255($59)
240: d344, <-14788($73), ->14787($75)
241: d159, <-22090($51), ->22089($64)
242: d159, <-3650($7), ->3649($5)
243: d780, <-15822($22), ->15821($73)
244: d780, <-12362($23), ->12361($98)
245: d655, <-3014($7), ->3013($1)
246: d655, <-24460($83), ->24459($63)
247: d89, <-12354($88), ->12353($30)
248: d89, <-3370($92), ->3369($58)
249: d528, <-18514($9), ->18513($58)
250: d528, <-21954($27), ->21953($2)
251: d661, <-11884($45), ->11883($61)
252: d661, <-5424($84), ->5423($38)
253: d482, <-15306($27), ->15305($76)
254: d482, <-9340($40), ->9339($20)
255: d236, <-6432($12), ->6431($50)
256: d236, <-12658($43), ->12657($93)
257: d263, <-21906($99), ->21905($36)
258: d263, <-18692($65), ->18691($73)
259: d553, <-1222($70), ->1221($64)
260: d553, <-7366($59), ->7365($95)
261: d402, <-14564($64), ->14563($60)
262: d402, <-20026($98), ->20025($72)
263: d269, <-13258($69), ->13257($39)
264: d269, <-19526($67), ->19525($58)
265: d126, <-7566($97), ->7565($87)
266: d126, <-19910($33), ->19909($85)
267: d311, <-14518($15), ->14517($13)
268: d311, <-5164($49), ->5163($18)
269: d464, <-2060($4), ->2059($11)
270: d464, <-14212($49), ->14211($2)
271: d313, <-11688($49), ->11687($12)
272: d313, <-12680($83), ->12679($64)
273: d161, <-10930($40), ->10929($13)
274: d161, <-1828($94), ->1827($20)
275: d654, <-246($22), ->245($85)
276: d654, <-15158($30), ->15157($47)
277: d106, <-10252($96), ->10251($17)
278: d106, <-21092($1), ->21091($25)
279: d522, <-1076($64), ->1075($5)
280: d522, <-20716($1), ->20715($59)
281: d777, <-15088($44), ->15087($24)
282: d777, <-656($69), ->655($37)
283: d335, <-12536($74), ->12535($8)
284: d335, <-5060($52), ->5059($21)
285: d676, <-14994($22), ->14993($88)
286: d676, <-5070($39), ->5069($12)
287: d338, <-13648($6), ->13647($82)
288: d338, <-23044($67), ->23043($34)
289: d739, <-20706($51), ->20705($30)
290: d739, <-19580($88), ->19579($65)
291: d428, <-18944($46), ->18943($56)
292: d428, <-17066($59), ->17065($58)
293: d319, <-546($61), ->545($38)
294: d319, <-12788($96), ->12787($66)
295: d639, <-1622($97), ->1621($64)
296: d639, <-19012($69), ->19011($56)
297: d521, <-22748($59), ->22747($37)
298: d521, <-13858($32), ->13857($57)
299: d788, <-9096($96), ->9095($21)
300: d788, <-3830($19), ->3829($100)
301: d23, <-13638($50), ->13637($10)
302: d23, <-18350($66), ->18349($1)
303: d176, <-8958($73), ->8957($50)
304: d176, <-21452($17), ->21451($40)
305: d696, <-10446($8), ->10445($29)
306: d696, <-23856($1), ->23855($20)
307: d51, <-9618($98), ->9617($78)
308: d51, <-6220($82), ->6219($65)
309: d678, <-6308($95), ->6307($88)
310: d678, <-25500($97), ->25499($8)
311: d399, <-5474($76), ->5473($97)
312: d399, <-3870($28), ->3869($7)
313: d106, <-16470($81), ->16469($13)
314: d106, <-23016($72), ->23015($18)
315: d436, <-5746($56), ->5745($2)
316: d436, <-11360($32), ->11359($100)
317: d727, <-764($16), ->763($52)
318: d727, <-14244($3), ->14243($20)
319: d626, <-21330($25), ->21329($66)
320: d626, <-21952($16), ->21951($9)
321: d555, <-11234($99), ->11233($70)
322: d555, <-24988($49), ->24987($88)
323: d122, <-5392($76), ->5391($45)
324: d122, <-25060($73), ->25059($86)
325: d158, <-15412($13), ->15411($37)
326: d158, <-4932($8), ->4931($50)
327: d3, <-5622($78), ->5621($76)
328: d3, <-12608($69), ->12607($2)
329: d733, <-8662($57), ->8661($20)
330: d733, <-16592($77), ->16591($52)
331: d400, <-6718($11), ->6717($15)
332: d400, <-8090($49), ->8089($46)
333: d208, <-3378($55), ->3377($62)
334: d208, <-7182($83), ->7181($12)
335: d723, <-12822($95), ->12821($36)
336: d723, <-23386($70), ->23385($28)
337: d314, <-12748($96), ->12747($1)
338: d314, <-13044($94), ->13043($16)
339: d185, <-11492($50), ->11491($99)
340: d185, <-14424($94), ->14423($66)
341: d119, <-13620($6), ->13619($46)
342: d119, <-4990($30), ->4989($90)
343: d383, <-8646($38), ->8645($47)
344: d383, <-4080($79), ->4079($86)
345: d111, <-23412($14), ->23411($73)
346: d111, <-5764($90), ->5763($43)
347: d83, <-15168($67), ->15167($47)
348: d83, <-9588($20), ->9587($88)
349: d355, <-1612($34), ->1611($65)
350: d355, <-1740($9), ->1739($34)
351: d392, <-13780($95), ->13779($51)
352: d392, <-16504($65), ->16503($58)
353: d31, <-176($78), ->175($82)
354: d31, <-9376($95), ->9375($85)
355: d485, <-5022($81), ->5021($100)
356: d485, <-11608($26), ->11607($64)
357: d132, <-18934($45), ->18933($2)
358: d132, <-6210($18), ->6209($37)
359: d650, <-20964($30), ->20963($49)
360: d650, <-21988($83), ->21987($89)
361: d286, <-15684($101), ->15683($3)
362: d286, <-12500($7), ->12499($9)
363: d505, <-7622($53), ->7621($18)
364: d505, <-6862($64), ->6861($11)
365: d354, <-7456($4), ->7455($39)
366: d354, <-23088($98), ->23087($72)
367: d518, <-15184($88), ->15183($38)
368: d518, <-18936($17), ->18935($53)
369: d201, <-17174($79), ->17173($48)
370: d201, <-2098($13), ->2097($94)
371: d223, <-2336($62), ->2335($28)
372: d223, <-17330($94), ->17329($39)
373: d505, <-12402($9), ->12401($85)
374: d505, <-6862($64), ->6861($11)
375: d85, <-1554($91), ->1553($93)
376: d85, <-23898($1), ->23897($87)
377: d422, <-24740($39), ->24739($51)
378: d422, <-10668($18), ->10667($63)
379: d303, <-6678($24), ->6677($77)
380: d303, <-24084($70), ->24083($58)
381: d367, <-9574($44), ->9573($74)
382: d367, <-17670($48), ->17669($31)
383: d220, <-16434($33), ->16433($100)
384: d220, <-19436($77), ->19435($73)
385: d527, <-23290($56), ->23289($91)
386: d527, <-19188($43), ->19187($6)
387: d646, <-20654($35), ->20653($6)
388: d646, <-4736($15), ->4735($4)
389: d634, <-3466($18), ->3465($70)
390: d634, <-22794($37), ->22793($24)
391: d199, <-13282($70), ->13281($40)
392: d199, <-5690($71), ->5689($57)
393: d136, <-1932($40), ->1931($69)
394: d136, <-12710($77), ->12709($71)
395: d489, <-15290($9), ->15289($31)
396: d489, <-17138($20), ->17137($95)
397: d574, <-1730($65), ->1729($75)
398: d574, <-24404($12), ->24403($44)
399: d636, <-4070($72), ->4069($29)
400: d636, <-25266($18), ->25265($88)
401: d219, <-1168($45), ->1167($57)
402: d219, <-6842($96), ->6841($39)
403: d326, <-9640($95), ->9639($76)
404: d326, <-5658($81), ->5657($10)
405: d386, <-20748($27), ->20747($71)
406: d386, <-10296($61), ->10295($25)
407: d180, <-17926($56), ->17925($29)
408: d180, <-10586($38), ->10585($37)
409: d65, <-10156($82), ->10155($58)
410: d65, <-12696($89), ->12695($63)
411: d276, <-10454($14), ->10453($32)
412: d276, <-14852($26), ->14851($45)
413: d624, <-14586($76), ->14585($48)
414: d624, <-7780($63), ->7779($38)
415: d712, <-21072($58), ->21071($54)
416: d712, <-18136($62), ->18135($55)
417: d96, <-22142($30), ->22141($54)
418: d96, <-558($72), ->557($60)
419: d389, <-16066($87), ->16065($23)
420: d389, <-10788($72), ->10787($1)
421: d672, <-15896($80), ->15895($99)
422: d672, <-23934($30), ->23933($52)
423: d56, <-14722($61), ->14721($77)
424: d56, <-21054($15), ->21053($17)
425: d87, <-2000($98), ->1999($27)
426: d87, <-6294($38), ->6293($82)
427: d501, <-18436($70), ->18435($74)
428: d501, <-15058($64), ->15057($77)
429: d510, <-6356($50), ->6355($53)
430: d510, <-19922($32), ->19921($67)
431: d262, <-11594($96), ->11593($63)
432: d262, <-5152($15), ->5151($90)
433: d396, <-476($23), ->475($60)
434: d396, <-19378($38), ->19377($51)
435: d560, <-4484($7), ->4483($41)
436: d560, <-16482($23), ->16481($75)
437: d665, <-18778($35), ->18777($79)
438: d665, <-24774($52), ->24773($55)
439: d559, <-15186($22), ->15185($89)
440: d559, <-436($74), ->435($22)
441: d58, <-20184($70), ->20183($73)
442: d58, <-16904($39), ->16903($9)
443: d514, <-22034($54), ->22033($55)
444: d514, <-12252($84), ->12251($75)
445: d145, <-22158($41), ->22157($14)
446: d145, <-21506($64), ->21505($24)
447: d218, <-2338($37), ->2337($1)
448: d218, <-18230($95), ->18229($73)
449: d765, <-616($17), ->615($13)
450: d765, <-8608($1), ->8607($39)
451: d795, <-11354($78), ->11353($5)
452: d795, <-12538($16), ->12537($99)
453: d761, <-24224($31), ->24223($45)
454: d761, <-11284($64), ->11283($5)
455: d551, <-20552($6), ->20551($2)
456: d551, <-17504($99), ->17503($49)
457: d108, <-1420($20), ->1419($18)
458: d108, <-8576($27), ->8575($47)
459: d655, <-14320($86), ->14319($5)
460: d655, <-8268($63), ->8267($66)
461: d395, <-6362($27), ->6361($22)
462: d395, <-11300($32), ->11299($9)
463: d140, <-16674($40), ->16673($48)
464: d140, <-21930($56), ->21929($37)
465: d245, <-17876($49), ->17875($15)
466: d245, <-10258($17), ->10257($81)
467: d512, <-11904($43), ->11903($89)
468: d512, <-23298($8), ->23297($75)
469: d744, <-10576($80), ->10575($28)
470: d744, <-24572($67), ->24571($74)
471: d32, <-16492($16), ->16491($86)
472: d32, <-2326($100), ->2325($62)
473: d419, <-3880($61), ->3879($49)
474: d419, <-15356($24), ->15355($20)
475: d397, <-11270($33), ->11269($83)
476: d397, <-8336($45), ->8335($67)
477: d657, <-6082($29), ->6081($84)
478: d657, <-16276($81), ->16275($70)
479: d562, <-15472($58), ->15471($76)
480: d562, <-12564($76), ->12563($56)
481: d591, <-6894($49), ->6893($6)
482: d591, <-12746($91), ->12745($2)
483: d140, <-21342($50), ->21341($77)
484: d140, <-12874($73), ->12873($32)
485: d288, <-13294($8), ->13293($59)
486: d288, <-17054($50), ->17053($54)
487: d58, <-3044($93), ->3043($89)
488: d58, <-6400($51), ->6399($27)
489: d746, <-21484($26), ->21483($73)
490: d746, <-666($14), ->665($19)
491: d226, <-15524($86), ->15523($77)
492: d226, <-16176($16), ->16175($66)
493: d560, <-15100($58), ->15099($92)
494: d560, <-2386($36), ->2385($68)
495: d6, <-21358($73), ->21357($21)
496: d6, <-1988($85), ->1987($7)
497: d125, <-3068($41), ->3067($58)
498: d125, <-17482($35), ->17481($44)
499: d81, <-12938($37), ->12937($17)
500: d81, <-11778($24), ->11777($11)
501: d588, <-20974($31), ->20973($52)
502: d588, <-11592($77), ->11591($69)
503: d37, <-3980($64), ->3979($88)
504: d37, <-24322($27), ->24321($98)
505: d124, <-12414($65), ->12413($35)
506: d124, <-17988($67), ->17987($7)
507: d620, <-6696($50), ->6695($69)
508: d620, <-8988($10), ->8987($74)
509: d630, <-11418($37), ->11417($15)
510: d630, <-16156($46), ->16155($21)
511: d596, <-7952($3), ->7951($76)
512: d596, <-17204($64), ->17203($49)
513: d630, <-1714($48), ->1713($99)
514: d630, <-11418($37), ->11417($15)
515: d776, <-4800($18), ->4799($43)
516: d776, <-5192($63), ->5191($91)
517: d226, <-18020($3), ->18019($30)
518: d226, <-13538($8), ->13537($48)
519: d361, <-24376($99), ->24375($70)
520: d361, <-22162($97), ->22161($86)
521: d492, <-18648($20), ->18647($62)
522: d492, <-12656($6), ->12655($54)
523: d535, <-17898($74), ->17897($76)
524: d535, <-18380($86), ->18379($63)
525: d21, <-20660($4), ->20659($26)
526: d21, <-22400($30), ->22399($36)
527: d455, <-18398($72), ->18397($58)
528: d455, <-9884($60), ->9883($14)
529: d798, <-15996($14), ->15995($51)
530: d798, <-15870($88), ->15869($48)
531: d407, <-24540($28), ->24539($86)
532: d407, <-1230($70), ->1229($35)
533: d101, <-22222($38), ->22221($59)
534: d101, <-13494($41), ->13493($13)
535: d715, <-4464($7), ->4463($13)
536: d715, <-16174($14), ->16173($84)
537: d17, <-14626($85), ->14625($42)
538: d17, <-4582($60), ->4581($14)
539: d501, <-4882($30), ->4881($95)
540: d501, <-11506($16), ->11505($59)
541: d121, <-1418($39), ->1417($68)
542: d121, <-8446($7), ->8445($88)
543: d217, <-17674($34), ->17673($82)
544: d217, <-22128($60), ->22127($36)
545: d320, <-4108($88), ->4107($2)
546: d320, <-16962($23), ->16961($39)
547: d196, <-21096($76), ->21095($11)
548: d196, <-3846($39), ->3845($95)
549: d150, <-24136($31), ->24135($33)
550: d150, <-11196($72), ->11195($56)
551: d597, <-14446($13), ->14445($30)
552: d597, <-18406($23), ->18405($99)
553: d778, <-13220($36), ->13219($98)
554: d778, <-15326($9), ->15325($65)
555: d455, <-9066($6), ->9065($100)
556: d455, <-16428($14), ->16427($92)
557: d97, <-7646($21), ->7645($98)
558: d97, <-19222($62), ->19221($13)
559: d331, <-5016($75), ->5015($19)
560: d331, <-16920($95), ->16919($6)
561: d410, <-4526($59), ->4525($86)
562: d410, <-1824($51), ->1823($74)
563: d580, <-24648($60), ->24647($76)
564: d580, <-11288($96), ->11287($56)
565: d262, <-26($12), ->25($37)
566: d262, <-7758($15), ->7757($22)
567: d611, <-23266($3), ->23265($42)
568: d611, <-19104($39), ->19103($37)
569: d522, <-23906($31), ->23905($56)
570: d522, <-5162($90), ->5161($88)
571: d49, <-7654($14), ->7653($63)
572: d49, <-20158($54), ->20157($55)
573: d698, <-9500($38), ->9499($34)
574: d698, <-18600($67), ->18599($18)
575: d159, <-7278($92), ->7277($63)
576: d159, <-17936($76), ->17935($57)
577: d112, <-16290($17), ->16289($11)
578: d112, <-18122($82), ->18121($30)
579: d254, <-11842($51), ->11841($62)
580: d254, <-2690($79), ->2689($20)
581: d471, <-17634($80), ->17633($74)
582: d471, <-12206($35), ->12205($16)
583: d207, <-21378($88), ->21377($67)
584: d207, <-24724($34), ->24723($41)
585: d663, <-24568($37), ->24567($76)
586: d663, <-4158($50), ->4157($1)
587: d330, <-18652($49), ->18651($47)
588: d330, <-12238($28), ->12237($26)
589: d375, <-1456($12), ->1455($89)
590: d375, <-9210($92), ->9209($76)
591: d63, <-14962($78), ->14961($41)
592: d63, <-6428($20), ->6427($97)
593: d303, <-17234($22), ->17233($67)
594: d303, <-19710($55), ->19709($98)
595: d338, <-5196($77), ->5195($69)
596: d338, <-13684($35), ->13683($24)
597: d370, <-8604($94), ->8603($30)
598: d370, <-10318($89), ->10317($22)
599: d707, <-9076($99), ->9075($16)
600: d707, <-14188($7), ->14187($20)
601: d636, <-25424($92), ->25423($56)
602: d636, <-1490($66), ->1489($62)
603: d155, <-13324($87), ->13323($12)
604: d155, <-2430($11), ->2429($50)
605: d616, <-5334($10), ->5333($12)
606: d616, <-17888($60), ->17887($24)
607: d215, <-17554($93), ->17553($24)
608: d215, <-2492($1), ->2491($88)
609: d709, <-1448($24), ->1447($29)
610: d709, <-25120($50), ->25119($43)
611: d780, <-22954($8), ->22953($98)
612: d780, <-15822($22), ->15821($73)
613: d641, <-17172($53), ->17171($12)
614: d641, <-21104($74), ->21103($34)
615: d766, <-17806($72), ->17805($33)
616: d766, <-10718($24), ->10717($72)
617: d691, <-9104($24), ->9103($89)
618: d691, <-7234($54), ->7233($89)
619: d392, <-12556($76), ->12555($26)
620: d392, <-10708($66), ->10707($99)
621: d214, <-19888($38), ->19887($83)
622: d214, <-608($62), ->607($97)
623: d639, <-1278($21), ->1277($64)
624: d639, <-68($46), ->67($26)
625: d768, <-8224($89), ->8223($92)
626: d768, <-16088($100), ->16087($7)
627: d710, <-19724($14), ->19723($38)
628: d710, <-21752($7), ->21751($21)
629: d607, <-12480($101), ->12479($38)
630: d607, <-3928($21), ->3927($65)
631: d155, <-8246($53), ->8245($5)
632: d155, <-13324($87), ->13323($12)
633: d352, <-22746($100), ->22745($22)
634: d352, <-20644($40), ->20643($33)
635: d656, <-24226($101), ->24225($71)
636: d656, <-8548($35), ->8547($45)
637: d764, <-684($29), ->683($19)
638: d764, <-23392($14), ->23391($31)
639: d783, <-15526($90), ->15525($85)
640: d783, <-2964($2), ->2963($71)
641: d61, <-160($6), ->159($49)
642: d61, <-18724($55), ->18723($72)
643: d407, <-7376($9), ->7375($70)
644: d407, <-19226($75), ->19225($68)
645: d572, <-12602($69), ->12601($45)
646: d572, <-5772($40), ->5771($68)
647: d439, <-13458($91), ->13457($33)
648: d439, <-11822($59), ->11821($31)
649: d543, <-21660($96), ->21659($1)
650: d543, <-2672($6), ->2671($47)
651: d324, <-15546($69), ->15545($51)
652: d324, <-14198($67), ->14197($43)
653: d432, <-6950($45), ->6949($55)
654: d432, <-10148($20), ->10147($99)
655: d778, <-19834($91), ->19833($96)
656: d778, <-15104($45), ->15103($31)
657: d463, <-7254($62), ->7253($46)
658: d463, <-2036($4), ->2035($39)
659: d438, <-12328($11), ->12327($9)
660: d438, <-12220($14), ->12219($77)
661: d674, <-17520($38), ->17519($40)
662: d674, <-1196($60), ->1195($52)
663: d414, <-6050($61), ->6049($36)
664: d414, <-9084($17), ->9083($4)
665: d747, <-22602($38), ->22601($33)
666: d747, <-19470($67), ->19469($100)
667: d685, <-24312($82), ->24311($89)
668: d685, <-17372($17), ->17371($11)
669: d495, <-8522($101), ->8521($46)
670: d495, <-16980($57), ->16979($5)
671: d269, <-20424($3), ->20423($24)
672: d269, <-19526($67), ->19525($58)
673: d100, <-14762($81), ->14761($32)
674: d100, <-18888($32), ->18887($99)
675: d435, <-20392($49), ->20391($57)
676: d435, <-13234($17), ->13233($58)
677: d565, <-1674($101), ->1673($36)
678: d565, <-5020($91), ->5019($39)
679: d259, <-21356($27), ->21355($32)
680: d259, <-14272($82), ->14271($55)
681: d31, <-19362($70), ->19361($82)
682: d31, <-17144($61), ->17143($91)
683: d765, <-2156($94), ->2155($84)
684: d765, <-6906($48), ->6905($50)
685: d48, <-18678($4), ->18677($96)
686: d48, <-24940($24), ->24939($76)
687: d490, <-2046($52), ->2045($15)
688: d490, <-3386($38), ->3385($98)
689: d443, <-13210($37), ->13209($41)
690: d443, <-12960($51), ->12959($22)
691: d672, <-22950($35), ->22949($47)
692: d672, <-10548($58), ->10547($93)
693: d535, <-14594($5), ->14593($74)
694: d535, <-11982($47), ->11981($74)
695: d498, <-14310($10), ->14309($16)
696: d498, <-13346($46), ->13345($10)
697: d38, <-21790($78), ->21789($21)
698: d38, <-17728($39), ->17727($27)
699: d346, <-3716($77), ->3715($1)
700: d346, <-11214($81), ->11213($4)
